2024-07-29 13:32:55 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 13:33:38 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 14:50:21 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 14:56:40 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 14:57:25 - INFO - Function: create_plane args: () kwargs: {} result: True
2024-07-29 15:02:14 - INFO - Function: create_flight args: () kwargs: {} result: True
2024-07-29 15:03:42 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:05:11 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 15:05:19 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:10:28 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:11:39 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:16:24 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:17:02 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:17:40 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:19:25 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:20:12 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-29 15:57:02 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 15:58:22 - INFO - Function: create_flight args: () kwargs: {} result: True
2024-07-29 16:01:27 - INFO - Function: create_flight args: () kwargs: {} result: True
2024-07-29 16:02:02 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 16:02:59 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-29 16:04:04 - INFO - Function: create_flight args: () kwargs: {} result: True
2024-07-29 16:04:46 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
